FOOD_ID,FOOD_RECORD_ID,FOOD_NAME,ENERGY_KCAL,PROTEIN_G,CARBOHYDRATE_G,FIBER_TOTAL_G,SUGARS_TOTAL_G,TOTAL_FAT_G,SODIUM_MG,SERVING_SIZE,PROTEIN_PCT,FAT_PCT,CARBS_PCT,DATA_SOURCE,CREATED_AT
6972,171595,sauce tomato chili sauce bottled with salt,92,2.5,19.79,2.4,13.33,0.23,1338,100g,10.9,2.3,86,sr_legacy,2025-11-14 09:05:10.553 -0800
27213400,2706495,beef and rice with mushroom sauce,135,6.25,15.53,0.4,0.59,4.76,313,100g,18.5,31.7,46,fndds,2025-11-14 09:05:10.553 -0800
1284,171300,yogurt greek strawberry lowfat,105,8.17,12.29,1,11.23,2.36,33,100g,31.1,20.2,46.8,sr_legacy,2025-11-14 09:05:10.553 -0800
58109015,2708687,pizza cheese whole wheat thin crust,267,11.77,28.62,3.5,3.59,10.87,543,100g,17.6,36.6,42.9,fndds,2025-11-14 09:05:10.553 -0800
